customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
4183-MYFRB,Female,0.0,No,No,0.2916666666666667,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,0.0,Yes,Electronic check,0.7144278606965174,0.2127971382414032
8779-QRDMV,Male,1.0,No,No,0.013888888888888888,No,No phone service,DSL,No,No,Yes,No,No,Yes,0.0,Yes,Electronic check,0.21293532338308457,0.0024059543041772442
1680-VDCWW,Male,0.0,Yes,No,0.16666666666666666,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.5,No,Bank transfer (automatic),0.01542288557213931,0.021168936072005536
1066-JKSGK,Male,0.0,No,No,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.0,No,Mailed check,0.018905472636815905,0.00015578121393953356
3638-WEABW,Female,0.0,Yes,No,0.8055555555555556,Yes,Yes,DSL,No,Yes,No,Yes,No,No,1.0,Yes,Credit card (automatic),0.4144278606965174,0.4022963304869605
6322-HRPFA,Male,0.0,Yes,Yes,0.6805555555555556,Yes,No,DSL,Yes,Yes,No,Yes,No,No,0.0,No,Credit card (automatic),0.41144278606965173,0.34058389106854375
6865-JZNKO,Female,0.0,No,No,0.4166666666666667,Yes,No,DSL,Yes,Yes,No,No,No,No,0.0,Yes,Bank transfer (automatic),0.3686567164179104,0.17445188091391645
6467-CHFZW,Male,0.0,Yes,Yes,0.6527777777777778,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,0.0,Yes,Electronic check,0.8069651741293532,0.545851603969536
8665-UTDHZ,Male,0.0,Yes,Yes,0.013888888888888888,No,No phone service,DSL,No,Yes,No,No,No,No,0.0,No,Electronic check,0.11890547263681592,0.0013154858066005077
5248-YGIJN,Male,0.0,Yes,No,1.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Credit card (automatic),0.7164179104477612,0.7328236787445188
8773-HHUOZ,Female,0.0,No,Yes,0.2361111111111111,Yes,No,DSL,No,No,No,No,Yes,Yes,0.0,Yes,Mailed check,0.4621890547263682,0.12396722824832679
3841-NFECX,Female,1.0,Yes,No,0.9861111111111112,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,1.0,Yes,Credit card (automatic),0.7771144278606965,0.7786925917378259
4929-XIHVW,Male,1.0,Yes,No,0.027777777777777776,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,0.0,Yes,Credit card (automatic),0.7686567164179104,0.01879183014078006
6827-IEAUQ,Female,0.0,Yes,Yes,0.375,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,0.5,No,Mailed check,0.47661691542288565,0.21412993307177478
7310-EGVHZ,Male,0.0,No,No,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.0,No,Bank transfer (automatic),0.019402985074626858,0.00016155088852988676
3413-BMNZE,Male,1.0,No,No,0.013888888888888888,Yes,No,DSL,No,No,No,No,No,No,0.0,No,Bank transfer (automatic),0.26865671641791045,0.003052157858296792
6234-RAAPL,Female,0.0,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,1.0,No,Bank transfer (automatic),0.8124378109452737,0.8346295868912993
6047-YHPVI,Male,0.0,No,No,0.06944444444444445,Yes,No,Fiber optic,No,No,No,No,No,No,0.0,Yes,Electronic check,0.5119402985074627,0.034398799907685206
6572-ADKRS,Female,0.0,No,No,0.6388888888888888,Yes,No,Fiber optic,No,No,Yes,No,No,No,0.0,Yes,Credit card (automatic),0.5626865671641791,0.40728132933302563
5380-WJKOV,Male,0.0,No,No,0.4722222222222222,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,0.0,Yes,Electronic check,0.8766169154228856,0.4073909531502423
8168-UQWWF,Female,0.0,No,No,0.1527777777777778,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0.0,Yes,Bank transfer (automatic),0.7920398009950248,0.12538656819755367
8865-TNMNX,Male,0.0,Yes,Yes,0.1388888888888889,Yes,No,DSL,No,Yes,No,No,No,No,0.5,No,Mailed check,0.3114427860696517,0.05272328640664666
9489-DEDVP,Female,0.0,Yes,Yes,0.9722222222222222,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,1.0,Yes,Credit card (automatic),0.5069651741293533,0.5600680821601662
9867-JCZSP,Female,0.0,Yes,Yes,0.2361111111111111,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.5,No,Mailed check,0.024875621890547265,0.04609393030233095
4671-VJLCL,Female,0.0,No,No,0.875,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,1.0,Yes,Credit card (automatic),0.6129353233830845,0.5588102930994692
4080-IIARD,Female,0.0,Yes,No,0.18055555555555555,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,0.0,Yes,Electronic check,0.5766169154228856,0.11108354488806832
3714-NTNFO,Female,0.0,No,No,0.6805555555555556,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,0.0,Yes,Electronic check,0.6592039800995025,0.44863835679667663
5948-UJZLF,Male,0.0,No,No,0.027777777777777776,Yes,No,DSL,No,Yes,No,No,No,No,0.0,No,Mailed check,0.30845771144278605,0.009023771059312255
7760-OYPDY,Female,0.0,No,No,0.027777777777777776,Yes,No,Fiber optic,No,No,No,No,Yes,No,0.0,Yes,Electronic check,0.6208955223880598,0.014464574198015234
7639-LIAYI,Male,0.0,No,No,0.7222222222222222,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,1.0,Yes,Credit card (automatic),0.6119402985074627,0.4845372720978537
2954-PIBKO,Female,0.0,Yes,Yes,0.9583333333333334,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,1.0,Yes,Credit card (automatic),0.4567164179104478,0.48872605585045004
8012-SOUDQ,Female,1.0,No,No,0.5972222222222222,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,0.0,Yes,Electronic check,0.7164179104477612,0.4407973690283868
9420-LOJKX,Female,0.0,No,No,0.20833333333333334,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,0.0,Yes,Credit card (automatic),0.8044776119402984,0.1624278790676206
6575-SUVOI,Female,1.0,Yes,No,0.3472222222222222,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,0.0,Yes,Credit card (automatic),0.5099502487562189,0.2000750057696746
7495-OOKFY,Female,1.0,Yes,No,0.1111111111111111,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,0.0,Yes,Credit card (automatic),0.6208955223880598,0.07090930071543965
4667-QONEA,Female,1.0,Yes,Yes,0.8333333333333334,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,0.5,Yes,Credit card (automatic),0.56318407960199,0.5120643895684284
1658-BYGOY,Male,1.0,No,No,0.25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,0.0,Yes,Electronic check,0.7681592039800995,0.20006346642049389
8769-KKTPH,Female,0.0,Yes,Yes,0.875,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,0.5,Yes,Credit card (automatic),0.809950248756219,0.7261020078467574
5067-XJQFU,Male,1.0,Yes,Yes,0.9166666666666666,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,0.5,Yes,Electronic check,0.8975124378109453,0.814395338102931
3957-SQXML,Female,0.0,Yes,Yes,0.4722222222222222,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,No,Credit card (automatic),0.06666666666666667,0.10102700207708286
5954-BDFSG,Female,0.0,No,No,1.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,1.0,Yes,Credit card (automatic),0.8880597014925373,0.9040964689591506
0434-CSFON,Female,0.0,Yes,No,0.6527777777777778,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0.0,Yes,Electronic check,0.818407960199005,0.5409993076390491
1215-FIGMP,Male,0.0,No,No,0.8333333333333334,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,0.0,Yes,Bank transfer (automatic),0.7129353233830846,0.6268059081467805
0526-SXDJP,Male,0.0,Yes,No,1.0,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,1.0,No,Bank transfer (automatic),0.2373134328358209,0.3396261250865451
0557-ASKVU,Female,0.0,Yes,Yes,0.25,Yes,No,DSL,No,No,Yes,Yes,No,No,0.5,Yes,Credit card (automatic),0.3597014925373134,0.10827371336256636
5698-BQJOH,Female,0.0,No,No,0.125,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,0.0,No,Electronic check,0.7577114427860697,0.0967516732056312
5122-CYFXA,Female,0.0,No,No,0.041666666666666664,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,0.0,Yes,Electronic check,0.5676616915422885,0.025998153704131086
8627-ZYGSZ,Male,0.0,Yes,No,0.6527777777777778,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,0.5,Yes,Electronic check,0.6034825870646767,0.41905723517193627
3410-YOQBQ,Female,0.0,No,No,0.4305555555555556,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,1.0,No,Mailed check,0.6064676616915423,0.28599123009462263
3170-NMYVV,Female,0.0,Yes,Yes,0.6944444444444444,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,No,Bank transfer (automatic),0.018905472636815905,0.10525040387722133
7410-OIEDU,Male,0.0,No,No,0.1388888888888889,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,0.0,Yes,Mailed check,0.6129353233830845,0.10022501730902378
2273-QCKXA,Male,0.0,No,No,0.013888888888888888,Yes,No,DSL,No,No,No,Yes,No,No,0.0,No,Mailed check,0.30646766169154227,0.0034906531271636275
0731-EBJQB,Female,0.0,Yes,Yes,0.7222222222222222,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.5,Yes,Electronic check,0.021393034825870634,0.12368451419339951
1891-QRQSA,Male,1.0,Yes,Yes,0.8888888888888888,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,1.0,Yes,Bank transfer (automatic),0.9288557213930347,0.8170090006923609
8028-PNXHQ,Male,0.0,Yes,Yes,0.8611111111111112,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,Yes,Bank transfer (automatic),0.05970149253731343,0.16222017078236786
5630-AHZIL,Female,0.0,No,Yes,0.041666666666666664,Yes,No,DSL,Yes,No,No,Yes,No,Yes,0.0,Yes,Bank transfer (automatic),0.4601990049751244,0.018301407800600047
2673-CXQEU,Female,1.0,No,No,0.7777777777777778,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,0.5,No,Electronic check,0.917910447761194,0.7062889453034848
6416-JNVRK,Female,0.0,No,No,0.6388888888888888,Yes,No,DSL,No,No,No,No,No,Yes,0.5,No,Credit card (automatic),0.37213930348258706,0.30810639279944607
5590-ZSKRV,Female,0.0,Yes,Yes,0.1111111111111111,Yes,No,DSL,Yes,Yes,No,No,No,No,0.0,No,Mailed check,0.36218905472636814,0.05347911377798292
0191-ZHSKZ,Male,1.0,No,No,0.4166666666666667,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,0.0,Yes,Electronic check,0.5621890547263682,0.2414608816062774
3887-PBQAO,Female,0.0,Yes,Yes,0.625,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.5,Yes,Credit card (automatic),0.07611940298507461,0.13821832448649896
5919-TMRGD,Female,0.0,No,Yes,0.013888888888888888,Yes,No,Fiber optic,No,No,No,No,Yes,No,0.0,Yes,Electronic check,0.6079601990049751,0.006987075928917608
8108-UXRQN,Female,0.0,Yes,Yes,0.1527777777777778,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,0.0,No,Electronic check,0.3213930348258706,0.06306831294714979
9191-MYQKX,Female,0.0,Yes,No,0.09722222222222222,Yes,No,Fiber optic,No,No,Yes,No,No,No,0.0,Yes,Bank transfer (automatic),0.5661691542288558,0.05516962843295638
9919-YLNNG,Female,0.0,No,No,0.5833333333333334,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,0.0,Yes,Bank transfer (automatic),0.8512437810945274,0.49719593814908836
0318-ZOPWS,Female,0.0,Yes,No,0.6805555555555556,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,Yes,Bank transfer (automatic),0.018905472636815905,0.11014885760443112
4445-ZJNMU,Male,0.0,No,No,0.125,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,0.0,Yes,Credit card (automatic),0.8064676616915423,0.10384837295176552
4808-YNLEU,Female,0.0,Yes,No,0.4861111111111111,Yes,No,DSL,Yes,No,No,No,Yes,No,0.5,Yes,Bank transfer (automatic),0.4368159203980099,0.2534791137779829
1862-QRWPE,Female,0.0,Yes,Yes,0.6666666666666666,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,No,Bank transfer (automatic),0.02388059701492536,0.11980152319409186
2796-NNUFI,Female,0.0,Yes,Yes,0.6388888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,Yes,Mailed check,0.016915422885572132,0.1048119086083545
3016-KSVCP,Male,0.0,Yes,No,0.4027777777777778,No,No phone service,DSL,No,No,No,No,Yes,No,0.0,No,Mailed check,0.15422885572139303,0.11429148396030464
4767-HZZHQ,Male,0.0,Yes,Yes,0.4166666666666667,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,0.0,No,Bank transfer (automatic),0.6348258706467661,0.29441495499653814
2424-WVHPL,Male,1.0,No,No,0.013888888888888888,Yes,No,Fiber optic,No,No,No,Yes,No,No,0.0,No,Electronic check,0.5616915422885572,0.006450496192014771
7233-PAHHL,Male,0.0,Yes,Yes,0.9166666666666666,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,1.0,Yes,Mailed check,0.654228855721393,0.6572178629125317
6067-NGCEU,Female,0.0,No,No,0.9027777777777778,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,0.0,Yes,Credit card (automatic),0.9233830845771144,0.8179321486268174
9848-JQJTX,Male,0.0,No,No,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,1.0,Yes,Bank transfer (automatic),0.8223880597014926,0.8585564274174936
8637-XJIVR,Female,0.0,No,No,0.16666666666666666,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,0.0,Yes,Electronic check,0.6039800995024875,0.10484075698130627
9803-FTJCG,Male,0.0,Yes,Yes,0.9861111111111112,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,0.5,Yes,Credit card (automatic),0.48358208955223875,0.545799676898223
0278-YXOOG,Male,0.0,No,No,0.06944444444444445,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.0,No,Mailed check,0.027860696517412943,0.01096815139626125
3212-KXOCR,Male,0.0,No,No,0.7222222222222222,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,No,Bank transfer (automatic),0.02736318407960199,0.12559427648280638
4598-XLKNJ,Female,1.0,Yes,No,0.3472222222222222,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,0.0,Yes,Electronic check,0.7985074626865671,0.2879875375028848
6380-ARCEH,Male,0.0,No,No,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.0,No,Mailed check,0.019402985074626858,0.00016155088852988676
3679-XASPY,Female,0.0,Yes,Yes,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.0,No,Electronic check,0.01194029850746268,7.500576967459019e-05
7123-WQUHX,Male,0.0,No,No,0.5277777777777778,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,0.5,No,Bank transfer (automatic),0.763681592039801,0.41389337641357027
5386-THSLQ,Female,1.0,Yes,No,0.9166666666666666,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,0.5,No,Bank transfer (automatic),0.2716417910447761,0.3471555504269559
3192-NQECA,Male,0.0,Yes,No,0.9444444444444444,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Bank transfer (automatic),0.9129353233830846,0.8761885529656127
6180-YBIQI,Male,0.0,No,No,0.06944444444444445,No,No phone service,DSL,No,No,No,No,No,No,0.0,No,Mailed check,0.060199004975124384,0.009393030233094854
6728-DKUCO,Female,0.0,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,0.5,Yes,Electronic check,0.854726368159204,0.840555042695592
9750-BOOHV,Female,0.0,No,No,0.4444444444444444,No,No phone service,DSL,Yes,No,No,No,No,No,0.5,No,Mailed check,0.11840796019900496,0.10487537502884837
8597-CWYHH,Male,0.0,No,No,0.5972222222222222,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,0.5,No,Mailed check,0.7572139303482587,0.45032310177705975
2848-YXSMW,Male,0.0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,No,Credit card (automatic),0.011442786069651727,0.15514078006000462
0486-HECZI,Male,0.0,Yes,No,0.7638888888888888,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,0.0,Yes,Electronic check,0.7810945273631841,0.6023655665820448
4549-ZDQYY,Female,0.0,No,No,0.7222222222222222,Yes,No,DSL,Yes,No,Yes,Yes,No,No,0.5,No,Credit card (automatic),0.3950248756218906,0.34888645280406183
5712-AHQNN,Female,0.0,No,No,0.5972222222222222,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,0.0,Yes,Electronic check,0.7303482587064677,0.45410800830833137
4846-WHAFZ,Female,1.0,Yes,No,0.5138888888888888,Yes,Yes,Fiber optic,No,No,No,No,No,No,0.0,Yes,Electronic check,0.5796019900497512,0.3287964458804523
5256-SKJGO,Female,0.0,Yes,Yes,0.8888888888888888,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,1.0,Yes,Electronic check,0.3616915422885572,0.3928802215555042
3071-VBYPO,Male,0.0,Yes,Yes,0.041666666666666664,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,0.0,No,Electronic check,0.7124378109452736,0.026494345718901455
9560-BBZXK,Female,0.0,No,No,0.5,No,No phone service,DSL,Yes,No,No,No,No,No,1.0,No,Bank transfer (automatic),0.127363184079602,0.12780406185091162
5299-RULOA,Female,0.0,Yes,Yes,0.1388888888888889,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,0.0,Yes,Electronic check,0.8159203980099502,0.12068428340641589
8402-OOOHJ,Female,0.0,No,No,0.5694444444444444,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,No,Mailed check,0.02388059701492536,0.09420147703669514
9445-ZUEQE,Male,0.0,Yes,Yes,0.375,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,0.0,Yes,Credit card (automatic),0.6661691542288557,0.246111239326102
1091-SOZGA,Female,0.0,Yes,Yes,0.7777777777777778,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0.5,Yes,Credit card (automatic),0.8114427860696517,0.6342776367412878
2928-HLDBA,Female,0.0,No,No,0.08333333333333333,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.0,No,Mailed check,0.024378109452736312,0.010841218555273483
0404-SWRVG,Male,0.0,No,No,0.041666666666666664,Yes,Yes,Fiber optic,No,No,No,No,No,No,0.0,Yes,Electronic check,0.5587064676616916,0.024319178398338335
6497-TILVL,Female,0.0,Yes,Yes,0.09722222222222222,Yes,No,DSL,Yes,No,No,No,No,No,0.0,No,Mailed check,0.3228855721393035,0.03825871220863143
7219-TLZHO,Female,0.0,Yes,Yes,0.05555555555555555,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.0,No,Mailed check,0.025870646766169167,0.005088852988691437
4622-YNKIJ,Male,0.0,No,No,0.4583333333333333,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,1.0,Yes,Electronic check,0.7034825870646766,0.3472017078236787
4412-YLTKF,Female,1.0,No,No,0.375,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,0.0,Yes,Electronic check,0.5950248756218905,0.24425340410800828
6734-PSBAW,Male,0.0,Yes,No,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,Yes,Bank transfer (automatic),0.052736318407960205,0.1967632125548119
3930-ZGWVE,Male,0.0,No,No,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.0,No,Mailed check,0.014925373134328358,0.0001096238172167089
2639-UGMAZ,Male,1.0,No,No,0.9861111111111112,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,0.5,Yes,Electronic check,0.3800995024875622,0.45771405492730205
2876-GZYZC,Female,0.0,No,No,0.18055555555555555,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,0.0,Yes,Electronic check,0.6736318407960199,0.13810870066928227
6207-WIOLX,Female,0.0,Yes,Yes,0.3472222222222222,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,0.0,Yes,Credit card (automatic),0.4014925373134329,0.1712266328179091
8587-XYZSF,Male,0.0,No,No,0.9305555555555556,Yes,No,DSL,No,No,No,Yes,No,No,1.0,No,Bank transfer (automatic),0.3213930348258706,0.3740249249942303
3091-FYHKI,Male,0.0,No,No,0.013888888888888888,No,No phone service,DSL,No,No,No,No,No,Yes,0.0,Yes,Electronic check,0.1711442786069652,0.001921301638587584
2372-HWUHI,Male,0.0,No,No,0.027777777777777776,Yes,No,DSL,No,No,No,No,No,No,0.0,No,Electronic check,0.25970149253731345,0.007206323563351027
7799-LGRDP,Female,0.0,No,No,0.5972222222222222,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,Yes,Credit card (automatic),0.07412935323383084,0.13494114931917842
7850-VWJUU,Female,0.0,No,No,0.3194444444444444,Yes,No,Fiber optic,Yes,No,No,No,No,No,0.0,Yes,Bank transfer (automatic),0.5646766169154229,0.20305792753288715
3774-VBNXY,Female,0.0,Yes,Yes,0.8888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,No,Mailed check,0.019402985074626858,0.14527463651050082
6217-KDYWC,Male,0.0,No,Yes,0.7916666666666666,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,Yes,Mailed check,0.013432835820895536,0.13290445418878374
0390-DCFDQ,Female,1.0,Yes,No,0.013888888888888888,Yes,No,Fiber optic,No,No,No,No,No,No,0.0,Yes,Mailed check,0.5194029850746269,0.005960073851834757
3146-MSEGF,Female,1.0,Yes,Yes,1.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Credit card (automatic),0.6945273631840796,0.7393087929840756
4080-OGPJL,Female,0.0,No,No,0.1111111111111111,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,0.0,No,Electronic check,0.5263681592039802,0.06287214401107778
1095-WGNGG,Female,0.0,Yes,No,0.8472222222222222,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,1.0,Yes,Bank transfer (automatic),0.8238805970149253,0.6868739903069466
2636-SJDOU,Male,0.0,No,No,0.8888888888888888,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,0.5,Yes,Credit card (automatic),0.6572139303482587,0.608152550196169
1131-QQZEB,Male,1.0,Yes,No,0.9861111111111112,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,No,Bank transfer (automatic),0.05671641791044776,0.20048465266558968
